,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
0,andaman & nicobar islands,1969,106.3,64.7,14.6,20.8,317.3,422.8,345.2,281.4,489.8,146.8,343.7,65.8,2619.0,171.0,352.7,1539.1,556.3
1,arunachal pradesh,1969,19.2,10.0,33.8,127.0,202.3,412.3,405.1,333.9,241.4,42.9,34.8,15.1,1877.7,29.2,363.1,1392.7,92.8
2,assam & meghalaya,1969,27.4,1.8,99.7,178.7,254.1,567.2,461.1,446.7,185.4,80.9,27.5,1.8,2332.2,29.2,532.4,1660.3,110.2
3,naga mani mizo tripura,1969,20.1,2.4,124.6,189.8,73.5,606.6,868.3,1347.2,228.1,126.3,23.2,0.0,3610.0,22.4,387.9,3050.2,149.5
4,sub himalayan west bengal & sikkim,1969,11.5,2.8,45.1,77.5,273.3,504.8,550.5,448.2,431.2,45.8,34.1,0.0,2424.9,14.4,396.0,1934.6,79.9
5,gangetic west bengal,1969,4.7,5.1,20.9,80.2,89.0,139.8,276.2,418.0,300.9,45.9,23.2,0.2,1404.0,9.9,190.1,1134.9,69.3
6,orissa,1969,0.7,1.0,4.0,27.3,80.7,158.6,432.5,293.5,197.7,41.8,38.9,6.4,1283.2,1.7,112.1,1082.3,87.1
7,jharkhand,1969,6.2,4.0,5.0,34.7,86.1,130.2,299.0,337.4,209.4,25.1,20.9,0.1,1158.1,10.2,125.8,976.0,46.1
8,bihar,1969,5.2,9.3,9.7,20.7,64.4,193.1,348.4,379.4,219.1,15.3,23.6,0.3,1288.6,14.5,94.8,1140.1,39.2
9,east uttar pradesh,1969,2.8,2.6,2.9,7.0,37.3,59.2,370.1,322.2,200.5,6.8,13.3,0.0,1024.6,5.4,47.2,952.0,20.0
10,west uttar pradesh,1969,5.8,3.0,10.0,4.8,16.6,17.1,311.4,262.4,231.2,0.4,15.4,0.0,878.1,8.8,31.4,822.2,15.8
11,uttarakhand,1969,79.8,43.1,49.0,60.7,77.0,89.6,381.0,483.5,345.6,25.3,0.2,1.0,1635.7,122.9,186.7,1299.6,26.5
12,haryana delhi & chandigarh,1969,1.5,6.8,9.7,3.6,21.0,11.3,130.9,132.7,158.8,0.3,0.6,0.0,477.2,8.3,34.3,433.7,1.0
13,punjab,1969,14.2,21.7,24.4,12.0,17.2,10.8,145.9,122.9,120.9,1.1,3.7,0.0,494.8,35.9,53.6,400.5,4.9
14,himachal pradesh,1969,66.0,78.6,72.7,130.4,111.0,31.0,201.8,306.7,117.2,8.4,2.4,1.5,1127.6,144.6,314.1,656.6,12.3
15,jammu & kashmir,1969,81.2,139.7,112.1,174.1,107.7,33.3,156.6,176.4,45.0,62.8,5.6,1.1,1095.6,220.9,393.9,411.3,69.5
16,west rajasthan,1969,1.0,1.2,1.1,1.0,2.7,3.0,48.8,43.5,15.5,1.0,0.1,0.0,119.0,2.2,4.8,110.8,1.1
17,east rajasthan,1969,3.5,1.1,1.7,1.9,4.9,16.7,226.4,258.5,117.2,0.1,2.1,0.0,634.1,4.6,8.5,618.8,2.2
18,west madhya pradesh,1969,5.7,0.3,0.0,0.2,0.8,47.9,393.4,395.9,226.5,0.0,45.8,0.3,1117.0,6.1,1.1,1063.7,46.1
19,east madhya pradesh,1969,8.3,2.7,1.1,0.7,9.7,41.7,553.4,392.8,198.3,0.0,33.2,0.0,1242.1,11.1,11.6,1186.3,33.2
20,gujarat region,1969,0.0,0.2,0.0,0.0,0.0,100.5,331.3,154.6,191.9,0.0,7.2,3.2,789.0,0.3,0.0,778.3,10.4
21,saurashtra & kutch,1969,0.0,0.2,0.0,0.0,0.0,44.2,176.3,35.5,26.9,0.3,6.4,0.2,290.0,0.2,0.0,282.9,6.9
22,konkan & goa,1969,0.0,0.0,0.0,1.1,2.4,666.5,1282.2,527.1,586.0,37.9,23.2,0.9,3127.4,0.0,3.5,3061.8,62.1
23,madhya maharashtra,1969,0.2,0.0,1.4,5.8,4.0,140.1,307.1,248.3,234.0,20.1,22.3,0.9,984.1,0.2,11.3,929.5,43.2
24,matathwada,1969,0.0,0.0,0.2,0.1,2.7,120.8,222.6,148.3,277.1,14.7,38.1,0.0,824.6,0.0,3.0,768.8,52.9
25,vidarbha,1969,1.5,0.0,0.6,4.0,9.6,98.6,371.0,200.0,281.5,5.4,19.4,1.3,992.9,1.5,14.3,951.1,26.1
26,chhattisgarh,1969,6.0,1.6,0.6,18.7,46.2,121.8,442.4,291.4,211.4,18.5,6.0,7.9,1172.6,7.6,65.6,1067.0,32.5
27,coastal andhra pradesh,1969,0.2,0.4,2.7,5.6,262.6,125.1,192.4,99.8,122.7,208.0,201.7,58.5,1279.7,0.7,270.8,540.0,468.2
28,telangana,1969,2.2,0.0,1.4,9.6,53.3,103.2,265.5,186.4,278.8,56.1,64.4,26.2,1047.1,2.2,64.3,833.9,146.7
29,rayalseema,1969,0.0,0.0,0.9,5.0,55.3,61.2,118.1,126.6,49.3,258.1,109.0,58.8,842.4,0.0,61.2,355.3,425.9
30,tamil nadu,1969,1.5,7.2,3.5,32.1,57.0,30.4,60.9,139.7,36.8,275.1,190.5,127.1,961.8,8.7,92.6,267.8,592.7
31,coastal karnataka,1969,0.0,0.0,1.2,44.8,49.9,704.8,1253.9,488.2,542.7,163.4,82.6,11.4,3342.9,0.0,95.8,2989.6,257.5
32,north interior karnataka,1969,0.0,0.0,4.1,14.9,40.6,89.4,151.1,159.2,121.5,113.7,33.5,1.3,729.1,0.0,59.5,521.2,148.4
33,south interior karnataka,1969,0.0,0.0,2.3,37.8,101.9,100.8,289.5,216.3,104.0,174.8,51.4,27.7,1106.5,0.0,142.0,710.6,253.9
34,kerala,1969,2.7,6.4,19.4,117.2,227.4,550.5,818.8,284.8,216.4,235.6,119.4,66.3,2665.0,9.1,364.0,1870.6,421.3
35,lakshadweep,1969,30.0,4.1,0.0,63.3,237.9,125.6,149.0,225.3,95.9,162.3,157.5,165.2,1416.1,34.1,301.2,595.8,485.0
