,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
0,andhra pradesh,1902,2.0,0.0,2.8,23.9,37.6,72.6,144.5,236.1,204.5,262.0,50.4,27.1,1063.6,2.0,64.4,657.7,339.5
1,assam,1902,9.3,10.2,105.6,350.0,262.1,620.7,510.8,536.0,441.3,97.0,7.8,1.3,2952.1,19.4,717.6,2108.9,106.2
2,west bengal,1902,4.6,0.7,24.3,17.3,66.3,118.2,361.0,225.5,358.7,28.5,1.1,0.0,1206.2,5.2,107.9,1063.4,29.6
3,chhattisgarh,1902,0.6,6.5,0.4,13.9,10.3,37.2,403.8,236.6,198.1,4.7,8.1,3.7,923.9,7.1,24.6,875.7,16.5
4,delhi,1902,0.0,0.7,2.9,10.2,15.8,74.6,149.3,97.1,59.8,9.3,0.0,0.0,419.8,0.7,28.9,380.9,9.3
5,goa,1902,0.3,0.0,0.0,0.4,7.6,428.2,943.6,515.1,613.8,74.3,42.7,48.0,2673.9,0.3,8.0,2500.6,165.0
6,gujarat,1902,3.9,0.0,0.0,0.6,1.0,32.8,229.8,299.0,281.2,2.3,1.5,11.9,863.9,3.9,1.5,842.8,15.7
7,haryana,1902,0.0,0.7,2.9,10.2,15.8,74.6,149.3,97.1,59.8,9.3,0.0,0.0,419.8,0.7,28.9,380.9,9.3
8,himachal pradesh,1902,6.5,27.0,104.4,76.2,61.3,78.8,258.6,199.3,113.4,23.6,2.5,0.0,951.6,33.6,241.9,650.0,26.1
9,jammu & kashmir,1902,6.5,9.7,91.3,100.5,70.7,113.3,108.4,136.9,62.2,15.1,44.0,1.8,760.5,16.2,262.5,420.9,60.9
10,jharkhand,1902,4.2,7.7,13.2,28.5,59.8,89.9,456.1,204.9,306.6,17.6,5.9,3.2,1197.6,11.9,101.5,1057.5,26.7
11,karnataka,1902,1.7,0.27,3.97,25.1,62.23,300.47,564.93,204.8,331.17,172.77,43.7,100.73,1811.8,1.97,91.27,1401.4,317.2
12,kerala,1902,6.7,2.6,57.3,83.9,134.5,390.9,1205.0,315.8,491.6,358.4,158.3,121.5,3326.6,9.3,275.7,2403.4,638.2
13,madhya pradesh,1902,18.5,8.65,0.0,2.8,4.3,31.95,406.9,203.2,215.35,27.45,18.8,10.15,947.95,27.15,7.1,857.35,56.35
14,maharashtra,1902,7.8,0.0,0.1,5.0,9.8,102.6,210.9,114.5,169.5,60.4,40.5,62.9,784.0,7.8,14.9,597.5,163.8
15,meghalaya,1902,9.3,10.2,105.6,350.0,262.1,620.7,510.8,536.0,441.3,97.0,7.8,1.3,2952.1,19.4,717.6,2108.9,106.2
16,orissa,1902,3.4,0.2,14.2,101.1,56.7,108.3,437.4,349.1,202.7,33.2,13.0,29.6,1349.0,3.5,172.1,1097.6,75.8
17,punjab,1902,0.0,0.8,9.9,10.9,29.6,49.9,125.6,94.9,67.2,9.0,0.0,0.1,398.0,0.8,50.4,337.7,9.1
18,rajasthan,1902,2.05,0.35,0.0,1.15,6.95,41.85,137.3,94.0,93.7,8.1,0.0,1.4,386.95,2.4,8.1,366.85,9.5
19,sikkim,1902,1.2,0.7,87.1,126.1,271.3,539.2,671.0,603.8,799.9,74.4,5.6,0.0,3180.4,1.9,484.6,2613.9,80.1
20,tamil nadu,1902,67.2,9.8,25.1,21.9,84.7,39.3,55.1,113.8,98.6,282.2,174.9,165.8,1138.2,77.0,131.7,306.7,622.9
21,tripura,1902,4.8,0.5,36.3,297.8,215.5,480.1,392.4,312.8,318.7,102.4,8.9,4.7,2175.0,5.2,549.7,1504.0,116.0
22,uttar pradesh,1902,5.35,3.45,1.5,3.4,14.3,43.5,368.7,168.0,200.15,11.4,1.05,0.1,820.9,8.75,19.3,780.35,12.55
23,uttarakhand,1902,0.0,17.0,52.2,63.7,52.1,113.1,444.1,327.5,220.4,31.9,2.1,0.0,1324.2,17.1,168.1,1105.1,34.0
24,bihar,1902,4.8,0.5,36.3,297.8,215.5,480.1,392.4,312.8,318.7,102.4,8.9,4.7,2175.0,5.2,549.7,1504.0,116.0
25,arunachal pradesh,1902,4.8,0.5,36.3,297.8,215.5,480.1,392.4,312.8,318.7,102.4,8.9,4.7,2175.0,5.2,549.7,1504.0,116.0
26,manipur,1902,4.8,0.5,36.3,297.8,215.5,480.1,392.4,312.8,318.7,102.4,8.9,4.7,2175.0,5.2,549.7,1504.0,116.0
27,mizoram,1902,4.8,0.5,36.3,297.8,215.5,480.1,392.4,312.8,318.7,102.4,8.9,4.7,2175.0,5.2,549.7,1504.0,116.0
28,nagaland,1902,4.8,0.5,36.3,297.8,215.5,480.1,392.4,312.8,318.7,102.4,8.9,4.7,2175.0,5.2,549.7,1504.0,116.0
